Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0577245160539221,0.00930438441947077,0.0504215490642201,0,0,0,0.0760060635936837,1.9435707298114E-05,-1.326432259085E-07,-4.87335854153079E-07,3.30224471324617E-05,7.9553558702505E-08,2.48720476713223E-05,0,0,0,0,0,0,package://disco/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://disco/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link 1,0.025,0.0078084,3.4694E-18,0,0,0,0.0068021,1.8206E-07,3.987E-22,4.7149E-23,1.6927E-06,3.3087E-24,1.8009E-06,0,0,0,0,0,0,package://disco/meshes/link 1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://disco/meshes/link 1.STL,,finger-1,Origin_joint 1,Axis_joint 1,joint 1,continuous,-0.033183,-0.044816,0.02141,-3.1306,0.098683,-0.088193,base_link,0,1,0,,,,,,,,,,,,
