Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0332395359487273,0.0479396606130252,0.0818001639870704,0,0,0,0.025,1.51041666666667E-06,-7.259847083974E-38,2.63850763069715E-21,2.21354166666667E-05,1.3234889800848E-23,2.10416666666667E-05,0,0,0,0,0,0,package://piano/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piano/meshes/base_link.STL,,key-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link,-6.9389E-18,0.005,-6.9389E-18,0,0,0,0.025,1.5104E-06,6.3753E-38,2.6385E-21,2.2135E-05,1.3235E-23,2.1042E-05,0,0,0,0,0,0,package://piano/meshes/Empty_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://piano/meshes/Empty_Link.STL,,key-2,Origin_dummy joint,,dummy joint,fixed,0.03324,-0.0568,0.04294,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
